C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_40_809.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_40_809.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_40_809.jpg, 0, 0, 0, 6.445838E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_40_911.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_40_911.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_40_911.jpg, 0, 0, 0, 6.63064E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_012.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_012.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_012.jpg, 0, 0, 0, 5.061144E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_113.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_113.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_113.jpg, 0, 0, 0, 6.539468E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_213.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_213.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_213.jpg, 0, 0, 0, 4.789789E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_315.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_315.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_315.jpg, 0, 0, 0, 1.43976E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_416.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_416.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_416.jpg, 0, 0, 0, 4.544405E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_517.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_517.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_517.jpg, 0, 0, 0, 6.768518E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_618.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_618.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_618.jpg, 0, 0, 0, 9.79735E-05
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_719.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_719.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_719.jpg, 0, 0, 0, 0.0001065827
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_819.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_819.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_819.jpg, 0, 0.2194956, 0, 0.08780196
C:\Users\HP\Downloads\dataset\training_set\IMG\center_2024_08_19_00_09_41_919.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\left_2024_08_19_00_09_41_919.jpg, C:\Users\HP\Downloads\dataset\training_set\IMG\right_2024_08_19_00_09_41_919.jpg, 0, 0.5182854, 0, 0.4492686
